timestamp,readingtime,temperature,humidity,pressure,altitude,temperature status,humidity status,pressure status
1638212428508,00:00:28 2021/11/30,21.49,51.37,954.1,504.49,NORMAL,NORMAL,NORMAL
1638212488514,00:01:28 2021/11/30,21.48,51.23,954.08,504.75,NORMAL,NORMAL,NORMAL
1638212548526,00:02:28 2021/11/30,21.48,51.39,954.07,504.8,NORMAL,NORMAL,NORMAL
1638212608529,00:03:28 2021/11/30,21.48,51.38,954.08,504.67,NORMAL,NORMAL,NORMAL
1638212668549,00:04:28 2021/11/30,21.47,51.52,954.06,504.92,NORMAL,NORMAL,NORMAL
1638212728548,00:05:28 2021/11/30,21.47,51.38,954.07,504.79,NORMAL,NORMAL,NORMAL
1638212788555,00:06:28 2021/11/30,21.48,51.61,954.04,505.03,NORMAL,NORMAL,NORMAL
1638212848556,00:07:28 2021/11/30,21.48,51.35,954.06,504.9,NORMAL,NORMAL,NORMAL
1638212908583,00:08:28 2021/11/30,21.46,51.56,954.06,504.86,NORMAL,NORMAL,NORMAL
1638212968573,00:09:28 2021/11/30,21.46,51.48,954.04,505.04,NORMAL,NORMAL,NORMAL
1638213028589,00:10:28 2021/11/30,21.46,51.25,954.06,504.84,NORMAL,NORMAL,NORMAL
1638213088595,00:11:28 2021/11/30,21.46,51.48,954.02,505.2,NORMAL,NORMAL,NORMAL
1638213148595,00:12:28 2021/11/30,21.47,51.46,954.04,505.04,NORMAL,NORMAL,NORMAL
1638213208603,00:13:28 2021/11/30,21.47,51.51,954.01,505.35,NORMAL,NORMAL,NORMAL
1638213268600,00:14:28 2021/11/30,21.46,51.44,954.01,505.36,NORMAL,NORMAL,NORMAL
1638213328607,00:15:28 2021/11/30,21.46,51.56,953.96,505.74,NORMAL,NORMAL,NORMAL
1638213388614,00:16:28 2021/11/30,21.46,51.5,953.98,505.61,NORMAL,NORMAL,NORMAL
1638213448623,00:17:28 2021/11/30,21.47,51.39,954,505.38,NORMAL,NORMAL,NORMAL
1638213508526,00:18:28 2021/11/30,21.47,51.21,953.96,505.72,NORMAL,NORMAL,NORMAL
1638213568635,00:19:28 2021/11/30,21.46,51.56,953.95,505.84,NORMAL,NORMAL,NORMAL
1638213628540,00:20:28 2021/11/30,21.46,51.37,953.89,506.33,NORMAL,NORMAL,NORMAL
1638213688548,00:21:28 2021/11/30,21.46,51.45,953.91,506.18,NORMAL,NORMAL,NORMAL
1638213748554,00:22:28 2021/11/30,21.45,51.37,953.89,506.37,NORMAL,NORMAL,NORMAL
1638213808561,00:23:28 2021/11/30,21.45,51.64,953.84,506.81,NORMAL,NORMAL,NORMAL
1638213868566,00:24:28 2021/11/30,21.46,51.31,953.84,506.76,NORMAL,NORMAL,NORMAL
1638213928581,00:25:28 2021/11/30,21.45,51.58,953.82,507.06,NORMAL,NORMAL,NORMAL
1638213988589,00:26:28 2021/11/30,21.44,51.62,953.86,506.63,NORMAL,NORMAL,NORMAL
1638214048587,00:27:28 2021/11/30,21.45,51.69,953.82,507.02,NORMAL,NORMAL,NORMAL
1638214108592,00:28:28 2021/11/30,21.45,51.55,953.79,507.23,NORMAL,NORMAL,NORMAL
1638214168599,00:29:28 2021/11/30,21.44,51.61,953.82,506.96,NORMAL,NORMAL,NORMAL
1638214228607,00:30:28 2021/11/30,21.44,51.48,953.79,507.21,NORMAL,NORMAL,NORMAL
1638214288625,00:31:28 2021/11/30,21.44,51.37,953.83,506.87,NORMAL,NORMAL,NORMAL
1638214348632,00:32:28 2021/11/30,21.44,51.42,953.8,507.14,NORMAL,NORMAL,NORMAL
1638214408649,00:33:28 2021/11/30,21.44,51.36,953.81,507.06,NORMAL,NORMAL,NORMAL
1638214468633,00:34:28 2021/11/30,21.44,51.42,953.77,507.38,NORMAL,NORMAL,NORMAL
1638214528638,00:35:28 2021/11/30,21.44,51.36,953.76,507.49,NORMAL,NORMAL,NORMAL
1638214588646,00:36:28 2021/11/30,21.43,51.56,953.75,507.61,NORMAL,NORMAL,NORMAL
1638214648652,00:37:28 2021/11/30,21.43,51.53,953.7,508.06,NORMAL,NORMAL,NORMAL
1638214708661,00:38:28 2021/11/30,21.43,51.43,953.73,507.75,NORMAL,NORMAL,NORMAL
1638214768669,00:39:28 2021/11/30,21.43,51.49,953.71,507.93,NORMAL,NORMAL,NORMAL
1638214828675,00:40:28 2021/11/30,21.42,51.5,953.72,507.82,NORMAL,NORMAL,NORMAL
1638214888679,00:41:28 2021/11/30,21.43,51.61,953.7,508.01,NORMAL,NORMAL,NORMAL
1638214948687,00:42:28 2021/11/30,21.42,51.52,953.7,508.01,NORMAL,NORMAL,NORMAL
1638215008696,00:43:28 2021/11/30,21.42,51.53,953.7,508.01,NORMAL,NORMAL,NORMAL
1638215068700,00:44:28 2021/11/30,21.42,51.33,953.7,508.01,NORMAL,NORMAL,NORMAL
1638215128812,00:45:28 2021/11/30,21.42,51.4,953.68,508.18,NORMAL,NORMAL,NORMAL
1638215188838,00:46:28 2021/11/30,21.42,51.21,953.74,507.65,NORMAL,NORMAL,NORMAL
1638215248821,00:47:28 2021/11/30,21.42,51.49,953.71,507.95,NORMAL,NORMAL,NORMAL
1638215308724,00:48:28 2021/11/30,21.42,51.51,953.77,507.41,NORMAL,NORMAL,NORMAL
1638215368734,00:49:28 2021/11/30,21.41,51.44,953.77,507.45,NORMAL,NORMAL,NORMAL
1638215428737,00:50:28 2021/11/30,21.41,51.43,953.79,507.27,NORMAL,NORMAL,NORMAL
1638215488744,00:51:28 2021/11/30,21.41,51.45,953.78,507.43,NORMAL,NORMAL,NORMAL
